,Generated Text,Actual Text
320,"This is a reminder of Enron's Email retention policy
The Email retention policy provides as follows:  Message Location - Maximum Retention Inbox - 30 days Sent Mail Folder - 30 days Trash/Deleted Items - Rollover from Inbox for one day Folders - All Email messages placed in folders will be destroyed after one calendar year",Email Retention Policy
321,"Dear ST_SW Traders,  FYI -  There was a cut on deal # 6223501 on June 2, 2001 for HE 11",WAPA cut on 6-2-01
322,"The sailing might be fun, and the price is right
=09  =09 =09  =09 =09  =09 =09The Main Bed & Breakfast Inn=20 =09 =09General Information=20 Welcome to The Main Bed and Breakfast Inn, located in Palacios on the sceni= c=20 Texas Gulf Coast",Maybe we should try this..
323,"Phillip,   Could you please do me a favor?
I would like  to read your current title policy to see what it says about easements
You  should have received a copy during your closing",Huntley/question
324,"As the office construction process continues, your offices will be among the  next to be demolished & reconstructed
While the current timetable is not  firm, it looks like your moves will be scheduled sometime between the 5th to  the 13th of October (this means the move may take place during the ENA  offsite)",Office Construction/Moves
325,"Marie, 	Since Jay is out this week, I'll be ""working"" on the master netting for Forest Oil and Noble Affiliates
When these are ready to go out please send a copy to me so I can advise the counterparties",Forest and Noble Gas
326,"We received a prior period adjustment (December activity) on the  JanuaryTransco invoices for CES
Its a credit of $6,432",CES Transco invoice
327,"At the all-employee meeting two weeks ago, I talked about the major challenges that I believe Enron is currently facing and what we are doing to address these issues
I also reviewed with you our vision for Enron to become ""The World's Leading Company,"" and what that means to me",Lay It On the Line
328,"Debra,  It was a pleasure speaking with you yesterday regarding the GISB contract
I look forward to receipt of your suggested language for the netting and dispute resolution provisions, and your decision on the acceptability of our Sections 10",GISB contract with DTE Energy Trading
329,"PLEASE READ THIS IMPORTANT INFORMATION CONCERNING THE ENRON STOCK FUND IN THE ENRON CORP SAVINGS AND ESOP PLANS  On Friday, January 11, trading of Enron stock was suspended on the New York Stock Exchange (NYSE)",IMPORTANT MESSAGE TO ALL EMPLOYEES PARTICIPATING IN THE ENRON CORP  SAVINGS & ESOP PLANS
330,"I have been asked to pursue an effort to apply a drag reducing agent (DRA) to the La Plata to Bloomfield pipeline with the intent of increasing the San Juan lateral capacity
I would appreciate it if you or your representative could participate in a conference call to initate this effort",La Plata to Bloomfield Drag Reducing Agent Application Proposal
331,"Chris,  Here is our explanation of the 5 Day loss violation
Let me know if you need  any more information",5 Day Loss Explanation
332,"Please let me know if you plan to be in the office this Friday, 222","RESPONSE REQUESTED: Dale's going away party, 2.22.02"
333,"During the course of their investigation, Special Agents from the Federal Bureau of Investigation will be taking documents they believe may be important for their investigation from employees' offices
The FBI has agreed to return copies of such documents",FBI Investigation
334,"Today, Enron hosted a conference call to give investors a current overview = of the company
Here's an update of what we discussed during the call",Overview of Investor Conference Call
335,"Per our conversation, attached is the form of ISDA Agreement, with Enron  guaranty attached to it
As we discussed, Cadwalader will issue an  enforceability opinion with respect to the Enron Corp",Power Authority of the State of New York
336,"I still have to fix the liquidated damages/termination stuff, but here's a  redline for you to look at
I picked up the comments from others (Terry,  Christi) and these should be lined as well",ppa
337,"Dr Lay,  Sir, I am almost positive that all avenues have been pursued to get Enron out of the hole we are in",Potential solution
338,"Elizabeth,  Hope you had a wonderful Thanksgiving-weekend
Just wanted to follow-up on my messages on your voice mail re",Follow-up on VEPCO
339,"Welcome to eMail News Delivery, a service from Business Wire
Here is your Industrial Information Resources Inc","Fate of Enron's Forest Products Group Up in the Air, in an Advisory  by Industrialinfo.com"
340,"Notes for this Week's Report:  * UK Gas's Average EOL and Non-EOL deals per day have decreased since their peak of 140 EOL and 96 Non-EOL transactions in March
They ended April with an average of 118 EOL deals per day, finished with 75 transactions in May and are currently tracking at 67 Eol deals in June",EOL Average Deal Count as of 6-06-01
341,"Jim, I do not know  if Ben or Kristina have counsel or if any other people who are getting worried  have made decisions yet but there is a former U S",Lawyers
342,"Theresa, do you have pipe support for deal 1143563 (sell to Retex for Nov-01)?
We show a total volume of 45,000 and they show 42,750
The difference is on days 29 and 30",Deal 1143563
343,"It is that time again for the mandatory Annual Compliance Meeting
This year it is scheduled for Thursday, October 25, 2001 at the Doubletree Hotel, LaSalle Room B, 8:30 am to 10:30 am",Annual Compliance Meeting
344,"RBowers@nyisocom writes to the NYISO_TECH_EXCHANGE Discussion List:  Billing for October 28, 2001 settlements was started at 17:24 this evening",October 28th billing
345,"Steve:  I just spoke with Bill Bradford and I understand that Bill and Mark  Tarkington discussed the use of ""Specified Entity"" and agreed, subject to DB  committee approval, to eliminate the use of Specified Entity in the ENA and  affiliated masters with DB (ie","Enron North America Corp. (""ENA"")/Deutsche Bank (""DB"") ISDA Master  Agreement"
346,"Jason (et al):  We are approaching somewhat of a slow-down in active harvesting development, and therefore it is a prime opportunity to begin hashing out what is required to gather the West Power load data you have previously mentioned
We should get together personally to better organize this initiative, but some things to ""prime the pump"" are:  1)  What are the requisite sites involved?
(URLs, etc) 2)  What is the frequency of ""jobs""?
(how often do we scrape the data; once a day, x number of time a day, etc)",West Desk Power Loads
347,"Dave:  I was talking with my brother-in-law who is Kinder/Morgan's VP of Corp  Development and they would be interested in talking with us about  contributing their 5,000 MW's of generation into a JV/Partnership to lead  into a public offering
We are still under several different CA's with them,  due to our past conversation's regarding generation",Genco
348,"We are continuing work to ensure our new online trading system, UBSWenergy, is ready for launch on the week of Feb 11, which is the week following the anticipated Enron/UBS Closing Date of Friday, Feb",Online Trading Simulation
349,The completion of the identified scrapable East Desk pipes is in site (pun intended :-),A light at the end of the tunnel?
350,"In order to provide Humberto the short term supply we have been talking about for a while, and to secure a 5-cent margin for Procaribe as agreed to with Mariella, we will sell him the product with the following terms:  Term:	4 months @ 1MM gal/mo
Start Date:  On closing of Progasco sale (June)  Pricing: (depending on month of delivery) 	June		MB + 11",LPG Supply to Humberto
351,"Today we announced the appointment of Jeff McMahon as Enron's chief financial officer
In my continued discussions with the financial community yesterday and today, it became clear that this move was required to restore investor confidence",Jeff McMahon Named CFO
352,"All:  Attached you will find a list that reflects your seat assignments for Business Continuity Planning (BCP)
These seats are located on the 30th and 31st Floors of Enron Center North (ECN)",BCP Seat Assignments
353,"Adele: Here are my thoughts on the latest drafts of the ISDA and CSA Schedules that  you sent to me:  1
In Part 1, Section (e) of the ISDA Schedule, right after the definition of  PSE&G Reorganization Transaction you need to delete ""S&P""",Comments to Latest Drafts
354,"Feast your eyes on Enron Business' cool and colorful new look
You'll find it in your mailbox at home and online at home",Introducing the 2nd Issue of the New Enron Business!
355,"Matt,  Can you let me know if the following products are approved for trading for  Singapore counterparties, and what restrictions, if any, they might have  (like the eligible swap participant rules in the US",EnronOnline-Singapore Counterparties
356,"Tana/Mark, Columbia Gulf has requested the following changes to their NDA
The legal entity name should read ""Columbia Gulf Transmission Company",Columbia Gulf NDA
357,"Hi Sharon,  Michael will pass on next week's appointment
He and I have the day off  together, so I'm making some special rodeo plans",Feb 19 appt for Michael
358,"Preparations are continuing for our simulation on Thursday, Feb 7 from 9-11 am",Online Trading Simulation Feb 7th
359,"I didn't get back from the meeting with Causey and Buy until just before 6:00  today - not that the meeting was long - Rick Causey was just running late so  we cooled our heels outside his office for quite a while before getting  started
I decided that midnight would be outside the bounds of office  dedication, so I did not call!
Enjoy your time off tomorrow and on Monday",Missed our Timing
360,"Bri,  What's the deal with this Gray Davis guy?
What's your opinion on him?
He's pretty much out to lunch on this whole energy crisis thing
I was wondering how the citizens of California viewed him",Gray Davis
361,"Finally!
After a slight uphill battle, we've successfully entered the first  three futures deals under the Mid-Columbia NYMEX settlement price
Because  all of you were involved in this process in one way or another, I thought I'd  let you know that it was successful in the end, and forward the deal numbers  along for reference",EPMI LTSW Futures Deals
362,"To make use of office supplies that have been left at vacated workspaces, Enron Property and Services Corp is asking for your assistance
EPSC will remove extra supplies from identified areas and place in a central location where they may be utilized by everyone",Office Supplies
363,"Here are my comments to the latest set of swap docs:  1
In the swap assignment, I think that the definition of Regulated  Subsidiary can be deleted",Comments to Swap Docs
364,"=09Here's what I've found out from Dennis Lee
USGT requested a realignmen= t of delivery capacity back in June (it was also sent to them in June)",USGT K# 27161
365,"Hi John,  I was wondering if you had a chance to put together that slide for us
I know you are really busy and we appreciate your help",Slide for John Sheriff
366,"Ok Chris
this is it",new meters
367,"Hello Jeff,  We're winding down a large project , about two more weeks, and preping to begin another, but we should have a small window of opportunity to get to your project, if you're still interested in having us do the work
So we need to meet or I need more info from you to get a good idea of exactly what you want",your deck project
368,"Taffy -   I've been having trouble getting this e-mail to go through to Robin Tompkins  at Portland General
Would you please either find Robin's correct e-mail  address and forward it to her or call and get her fax number and fax it to  her",Message to Robin Tompkins
369,"Dear Fam,  Sally informed me today that John Brindle, a former head of Enron security, is now involved and will be handling all airline reservations (through Gordon Bethune at Continental airlines), ground transportation and hotel reservations (Four Seasons or Park Hyatt) for us
He has suggested that we use ""assumed"" names for all reservations being made",Ken's SEC Testimony
370,"Mike,  Here's a revised version of the option agreement
I changed the shipping  dates, quantity (10), Outside Exercise Date, and the amount of the option  payment",Option
371,"Margaret,  Thank you for all you help getting my Visa application prepared
Do you know  what documentation I need to have with me at the border?
I was planning on  bringing the following:  Passport Driver's License Birth Certificate University Transcripts  Is there anything else that I need to bring?
Chris Dorland

",Documentation for Emmigration
372,"1) The enforceability of my existing contract with Enron, namely section 16
What happens to my contract with Enron and will I be forced to repay both my sign on bonus and my retention bonus to Enron?
2) Section 1(f) and the last sentence of section 1(c) seem redundant",UBS issues
373,"Hello everyone,    Please take a minute of your time to fill in the attached document about your pipelines
Be sure to indicate ALL of your customers",Pipeline Contacts
374,"Dear TI-USA Corporate Supporters:  We are delighted to invite you to the next TI-USA Quarterly Meeting on Friday, June 29, 2001 from 12:00 - 3:00 pm",Invitation to TI-USA Quarterly Meeting
375,"The following matters pertaining to NYISO are on the FERC agenda for the Oct 24 meeting:  ER01-3001:  Request by NYISO to extend the currently effective $1000/MWh Bid Caps on certain NYISO adminstered markets, and to extend its Temporary Extraordinary Procedures for Correcting Market Design Flaws and Addressing Transitional Abnormalities, until 4/30/02",10/24 FERC agenda -- NYISO
376,"LARRY & MATT       THE EMISSIONS FACILITY COMPLIANCE CERTIFICATION REPORT FOR STATION 5 IS DUE JAN 23, 2002,  BUT THE WAY THE PERMIT READS WE DO HAVE 45 DAYS AFTER JAN",FACILITY COMPLIANCE CERTIFICATION REPORT FOR STA. 5
377,AUSTIN-BRAZOS-BURLESON-COLORADO-FORT BEND-GRIMES-HARRIS-HOUSTON- LIBERTY-MADISON-MONTGOMERY-POLK-SAN JACINTO-TRINITY-WALKER-WALLER- WASHINGTON-WHARTON- INCLUDING THE CITIES OF,WINTER STORM WARNING UNTIL TUE JAN 01 2002 09:00 PM CST FOR 77057
378,"Please be sure to turn in all outstanding MS150 pledges ASAP to either me (EB2365c), Becky Pham (EB2341B), or Amelia Alder (3AC3120)
Thanks!!!!
Steph :  )

","Pledges, Pledges, Pledges"
379,"Jason:  I received the A&K package the other day
Thanks very much",Master and Other Agreements
380,"We have received the executed ISDA Master Agreement (Multicurrency-Cross  Border) executed 04/08/99, effective as of 06/09/98
Copies will be  distributed",Husky Oil Limited/ECT Canada
381,"Chris,  Attached is the form of Professional Services Agreement to be used  for Power Engineers
I am assuming Power Engineers has no existing agreement  with any other Enron entity",Power Engineers Services Agreement
382,"Hi all, Pro forma model for ANNGTC is in the shared folder now under the name ""Alaska Pipelinemodel 103001 Ro""
Please review relevant pages (Rate/Tariff, Cost estimate, Construction and Drawdown schedule etc",ANNGTC Model
383,"This is to advise you that we have canceled next Wednesday's ETS Half Day  Staff Meeting
Our next meeting is scheduled for Wednesday, August 15,  from 8:30AM to 1:00PM in 49C2",May 16 ETS Half Day Staff Meeting CANCELED
384,"Dear Power Outage Database Customer,  Attached you will find an excel document
The outages contained within are rescheduled outages",Rescheduled Outages
385,"For those of you beginning to work with our PSA and Confirm form, the provision  guaranteeing lease payments in the event savings are insufficient is  in the Additional Provisions document in FormsBank styled ""Project Savings Deficit Payments""
This provisions may be added to Section 5 of the Confirm if it is part of your deal",PSA and Confirm Form
386,"Good morning to you
Sonny P",neighbors
387,"Just working on a Courtney deal while thoughts of you pop into my head
One  of the things I really love about you is how humble you are",Deep Thoughts
388,"I have advised the confirmation desk of the following rotations:  Susan Bailey - September 1 - December 31, 1999 Susan Flynn - January 1 - March 31, 2000 Marie Heard - April 1 - June 30, 2000  We can continue the rotation on a quarterly basis
Let me know if you have any questions",Confirmation Desk Rotations
389,"Well, we met and had dinner last night
NOTHING of importance was discussed  during our entire meal and it was only when I brought things up as we were  leaving that any actual talking occurred",You hit the nail on the head...he is a weirdo.
390,"Gerald!
Kindly issue an amendment to our out-going guaranty for the benefit of Tractebel Energy Marketing, Inc, executed in May 2000",Guarantee Amendment- Tractabel
391,"Vijay,  I apologize for the delay in getting back to you
I've been traveling again= ",coal follow-up
392,"Kent,  Here's a revised letter agreement
It is being reviewed internally, but I  wanted to get it to you today anyway, as I will be out of the office  beginning tomorrow around 1100",Letter agreement
393,"Well, wouldn't you know it
I couldn't find the most recent version in my  email",Strategy
394,"All applications residing on the R: drive will be temporarily unavailable from Friday, September 21, 2001 at 11:00 PM",Outage for Applications residing on the R:\ Drive
395,"Elizabeth, please call me to let me know how you want to proceed on this
I reviewed with Mary last week the set-of language for the trading forms in light of Robert Anderson's review and suggested revisions",Mandatory Set-Off Language
396,"The Governor's advisors will not be prepared to discuss the credit issues on  Friday
A new dial in number has been set up for a conference call amongst  the sellers",NEW DIAL IN # FOR FRI CONF CALL
397,"Please check on the purchase from AEC Marketing
The daily volume is 9189,  the deal number is 227196",Nat Fuel
398,"At the request of Daniel Diamond, I am attaching our proposed form of  Non-Disclosure Agreement
If the enclosed meets with your approval, please  execute the agreement and return it to me via fax no",NDA - Choice Energy Ltd.
399,"Kim: I am looking to buy some good, used baby furniture (crib, dresser, changing  table etc)
If you come across any could you please let me know?
I noticed  that you post alot of furniture items and thought that you may be a good  source",Baby Furniture
400,"I've added the third leg to deal 566375 and changed comments in each leg to  reflect that
We had a bit of confusion about who was actually adding the new  pub code, but it's in the system now and the deal is ready to be confirmed",New swap deal for EPMI LTSW
401,"As a follow-up to my email regarding the execution of the 12/29/00 ISDA  Master Agreement between Deutsche Bank AG and Enron North America Corp,  please be further advised:  Effective 6/4/99, Bankers Trust Company was acquired by Deutsche Bank AG",Deutsche Bank AG/Bankers Trust Company
402,"The attached documents contains the representations specific to Lost Creek  and Fort Union that ENA would be making in the 20/20 Purchase and Sale  Agreement as it is drafted currently
We are making the reps",Gathering Company Reps.
403,"Please find attached files
The first worksheet in each file (Backup) has the Regulatory Assets and Liabilities data along with other Balance Sheet support",NNG & TW 2001 Third Current Estimate - Balance Sheet Support for  Regulatory Assets/Liabilities
404,"Many of you have requested more time in which to submit your nominations for the 2001 Chairman's Award
In response to your requests, the deadline has been extended to Friday, October 12",2001 Chairman's Award Deadline Extension
405,"Kim  The level ""A"" (30% ?)
to construct a new interconnect between TW and  Questar at suction side of San Juan are as follows:  Facility requirements:  Tap/ Side-valve	( $75,000) 12"" Ultra-Sonic meter Flow control-valve with positive shut-in Install fence-site Meter Building Chromatograph EFM& SCADA  Costs:  Material costs:			$240,000 Contact, inspection		$135,000 Eng and project management Contingency			$50,000 OH and AFUDC			$20,000	  Total				$520,000  If you have any questions please call
Mansoor

",TW-Blanco Hub and Questar interconnect  80-120 mmcf/d
406,"COLUMBIA GULF TRANSMISSION COMPANY                         NOTICE TO ALL INTERESTED PARTIES                                 OCTOBER 08, 2001  Notice ID: 3168 5 - NO RESPONSE REQUIRED  The fall issue of the Columbia Gulf customer newsletter, The Columbia Edge, is now available online
To view it, click the link, which you can find on the Navigator homepage",CGT - Fall Issue of The Columbia Edge
407,"AC,   You may need to fax a copy of the invitation for the July trip to Tim
When  I talked to him today, he hadn't seen anything",Customer Meeting Invitation
408,"Help me understand HOW MANY Tozzini memoranda exist which address financial  swaps and derivatives
I e-mailed Michael about this attachment and I think  his response was that Antonio Felix ADDED comments to the attachment",Brazilian Regulations for Swaps & Prepays
409,"Per Steve's request, I am forwarding a phone number of a consulting company  that produces maps which show all pipeline in Texas (sorted by county)
This  might be a good place to start to find the pipeline you described in your  voice mail to Steve",Maps
410,"This report lists all customers that are going to receive a rejection letter from credit regarding their EnronOnline application
If you want this process delayed so you can contact your customer or follow up with credit on behalf of your customer, please contact Claudia Clark at x39281 or Karen O'Day at x54135",Market Response Report
411,"The above counterparty on the 3/7/01 list is ID#93394
We had a counterparty  on the pre-approval list that was called International Paper Company and was  ID#1836",International Paper Corporation
412,"Just a note  that all Michcon deals need to be entered as MICH/Michcon Other/1130
This is the generic meter we are using for all buys and sells on Mich",Michcon Deals
413,"At the request of Bob Shults, I am attaching our proposed form of  Non-Disclosure Agreement
If the enclosed meets with your approval, please  sign the NDA and return it to me via fax (713) 646-3490","NDA - Prebon Energy, Inc."
414,"I just entered an index deal for one of our traders, and came across  something I hadn't noticed before
In EnPower, we have several choices for  the Dow Jones Mid-Columbia index, but none called specifically ""Mid-C Firm  Peak",Dow Jones Mid-Columbia Index
415,"Dear GEICO DIRECT policyholder,  Thank you for being a valued GEICO DIRECT customer
Your policy is about to cancel for non-payment of premium",Your GEICO DIRECT bill is ready for payment!
416,"John,  The outline of a message to Nesbitt
Dale,  Thanks for your message",Letter to Nesbitt
417,"By unanimous vote we will pre-determine the draft order
So, if nobidy has  any objections, I will pick the draft order here at work under the scrutinhy  of several other players ( Dave B, O",Draft
418,"Chris: Here is where I will be just in case
I will alos be checking my voice  mail",Hotel Info
419,"Jon: Here are some more questions regarding the Caledonia plant
Your assistance  with these questions would be greatly appreciated",Question 2
420,"When: Tuesday, January 29, 2002 1:00 PM-2:30 PM (GMT-06:00) Central Time (US & Canada)
Where: ECS6980  *~*~*~*~*~*~*~*~*~*   As promised, please find the attached agenda for our follow-up meeting regarding CPM and additional P&L requirements",Power Trading Systems Requirements
421,"Hello Jeff, Hope all is going great in your world,the street is finally acknowledging ours
When we last visited I promised to provide you the name and number of the guy that is training my son and who also trains Jose Cruz Jr",Trainer/Nutritionist
422,"You have been identified as a current subscriber to our Reuter's Cobra or I-Finance Market Data
We are currently in the process of re-negotiating these licenses",Reuter's Contract Negotiation
423,"Hi Gavin:  Could you do me a favor (know you're busy)
Someone told me that there's an  article in last Thursday's?
NYT blaming the California fiasco on former  California Commissioner Dan Fessler, who was responsible (a few years back)  for putting in place the structure we have here",Need Some Help
424,"Per my discussion with Mark Taylor and our conversation today, attached is  the form of Termination Agreement that should be used when terminating  EnronOnline mistake or ""oops"" trades
The trades should continue to be  initially run past the Legal Department to determine whether there are any  unusual circumstances surrounding the trades, but absent unusual  circumstances, Legal will then pass the trades on to the Confirmation Desk  for preparation of the Termination Letter and further handling",Termination of EnronOnline Trades
425,"PLEASE READ THIS IMPORTANT INFORMATION CONCERNING THE ENRON STOCK FUND IN THE ENRON CORP SAVINGS AND ESOP PLANS  On Friday, January 11, trading of Enron stock was suspended on the New York Stock Exchange (NYSE)",IMPORTANT MESSAGE TO ALL EMPLOYEES PARTICIPATING IN THE ENRON CORP  SAVINGS & ESOP PLANS
426,"Questions:  What does being short/long a position mean?
What is curve shift?
What affects curve shift?
What are the basic components of a P&L?
What is a swap?
What are different types of swaps?
What is basis?
What is MTM value?
What is Accrual value?
What do you consider stress in the workplace?
How do you handle stress?
Examples of a stressful situation?
What do you consider long work hours?
Some aren't technical
I don't have any problem solving questions",Technical Questions
427,"As you know, we received a letter from Rocky Mountain Helium (""RMH"")  threatening litigation in connection with Enron's investment in Crescendo
We believe that if RMH files suit, it will be in Federal Court in Denver",Crescendo Threatened Litigation/ Colorado Counsel
428,"With Ken Lay's resignation, you undoubtedly have questions about Enron's management structure and what lies ahead for the company
The purpose of this communication is to begin to answer those questions and lay out the direction we plan to follow as we regroup and rebuild",Management Changes
429,"We have conference room 6716 from 3:00 to 4:00 each day for OPS
I have not inspected the room to see if it will accommodate our entire group",OPS meeting
430,"You are cordially invited to:  The Fourth Annual Peterson Ethics Lecture Featuring: William Drayton Founder of Ashoka, an organization that supports social entrepreneurship  This Friday, October 12, 4:00 pm, Wells Fargo Room Haas School of Business   About William Drayton: Drayton founded Ashoka in 1980 to use a venture capital model to support  social entrepreneurs, described by Ashoka as practical visionaries who are  committed to social change
The primary activity of the organization is  identifying social entrepreneurs around the globe as candidates for Ashoka  Fellowships, which provide both financial and professional support","William Drayton, Founder of Ashoka, to speak this Friday!"
431,"All,  You are invited to attend an ENA Trading Track Dinner, Tuesday, October 16th ( location details to be confirmed )
Please RSVP your attendance",Trading Track Dinner - 16th October
432,"Per Steve Gillespie - this is our operational flexibility with the Penn Fuel  asset management deal for January
Steve, I am assuming all of the numbers  shown below are citygate numbers",Penn Fuel Asset Management deal for January
433,"I've run across what seems to be a glitch in Deal Blotter; although it may be  caused by the default settings in a specific trader's blotter
A few times  over the last several weeks, our traders at the Short Term Southwest desk  have entered off peak deals by choosing the ""off"" selection under the ""Hours""  heading",Deal Blotter question
434,"Vince , take care and may God Bless you and your family
Just in case we miss each other on tomorrow , it was a great pleasure working with you and I somehow feel that you will make it alright",Just in Case
435,"Mark,  Great news about the deal
Can I please be provided with copies of the Dynegy documents?
Senior management here, and elsewhere no doubt, have lots of questions about constraints on the business going forward, what could prevent merger taking place etc",DYNEGY
436,"Kevin Montagne is running the ""code"" reports
I should have them sometime Tuesday",Bid/Ask
437,"Dee,  I assume that you will go through these documents for benefits/plan issues  and then send relevant ones to Pat this week
If that is not your plan, let  me know",Data Room Information - Toucan
438,"Crescendo Energy, LLC, which is approximately 88% owned by Trutta and JEDI II, may be put into bankruptcy
In any event, they do not have funds to pay attorneys' fees",Retention of Pruitt Gushee
439,"Mae Charles:  Attached is the form of legal opinion which Enron North America Corp (""ENA"")  submitted to M",legal opinion
440,"You are hereby notified that the meeting of the Board of Directors of Enron Federal Credit Union will be held on Monday, November 19th, 2001 at 5:00 PM",Please Read!
441,"I'll send you a brief comparison of the ERMS/Merrill ISDA from 1992 with  ENA's typical ISDA used in 1999 by the morning
Am currently working to  produce the confirm format",Moosehead
442,"Brant: Aquila Canada has been striking the ""affiliate"" language in the setpoff  provisions of Annex A to the Onibus confirmation
Are you okay with this?
Carol

",Aquila
443,"Now I see how you guys have been winning all of your games - through  cheating
You are supposed to have at least one player on IR each week",IR Moves
444,"Attached please find the short form collateral support annex to the WSPP Agreement which we are planning to propose at the WSPP Collateral Annex meeting
Please let me know if you have any comments",Short Form WSPP Collateral Annex
445,"There are some conflicts with the draft date, so we will probably need to  have it on a different date
Please tell me if you prefer 9/2 ( the day  before the season starts) or 8/20",Draft change request
446,"I received an email this morning regarding the reports viewer
I agree with  restriciting the access to these sensitive reports, but I don't agree with  removing myself from those allowed to review positions",Executive Reports Viewer
447,"Maria informed me that you left your shootin' irons in Texas when you moved  up here
What were you thinking?
I'm organizing a pheasant hunting trip in  late October out in Western S",cave man activity
448,"doris and i would like to invite you over for pizza  and refreshments this friday 9/28 at my home in the woodlands
We live near the  sterling ridge shopping center where the woodlands parkway intersects Kuykendahl  road",Friday Afternoon pizza and refreshments
449,"Do we still need to be transporting Bridgeport CNG produciton gas through  Coronado to CGAS?
AND if YES, will this gas always need to go through  Coronado?
I thought that was just a seasonal thing

",Coronado Pipeline
450,"June 16, 2000  Energen Resources Corporation                          In accordance with Fred Lagrasta's instructions,  we are forwarding to you  the attached draft of a Master Firm Purchase/Sale Agreement between Enron  North America Corp and Energen Resources Corporation for your consideration",Master Gas Agreement
451,"My friends and I would like to buy a table for the banquet April 9th and  request that Bobby Reynolds #21 be at our table
If this is not possible,   we would like to see the list and pick another player",Re Kids Unlimited
452,"How's it going?
Any thoughts on the AGA number?
We think it is a bunch of BS although all the entries I saw on the Fundamentals Message Board about people selling storage gas give one pause
HOw are things going on the flying front?
I took my brother-in-law up last night and thankfully managed two good landings",Yo
453,"I've gone through most of the CES stuff for Jan
I'm missing several demand  charge contracts and commodity for CES on Trco",CES invoices
454,"Hello All,  what an exciting game last night!
No excess injections for the rest of the week
That means no IAS payback either",Capacity for the 17th
455,"The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete
Nothing contained herein should be considered as an offer to sell or a solicitation of an offer to buy any financial instruments discussed herein",The Whole API Report 12/27
456,"The New York City Marathon will take place as scheduled on Sunday, November 4, 2001
The following are items of special interest:  HOTELS Prices have been reduced at selected New York City Hotels",NYC Marathon Update
457,"The outside lawyer for Northwestern, Marguerite Kahn, would like to speak  with you concerning the structure of the LLC, specifically including the  promissory notes
Guess I didn't explain it all that well",Blue Dog
458,"Taffy,  these are all finance deals that Sara worked on
Can you work with  her to get copies of the ISDA Masters for this guy in the Audit group",Prepaid Contracts
459,"Attached is a draft of a Watch Report for Principal Investments as of 8/31/01 which reflects a complete format revision
The previous narrative Watch Report had grown to 7 or 8 pages while this new format is a streamlined 2 pages",New Watch List Report - Principal Investments
460,"The winner of the 9/15 Dave Matthews Tickets accidently bid on both pairs of  tickets I had for sale (9/15 and 9/16) and only wanted one pair
He is  buying the 9/16 tickets (11th row) for $345",Dave Matthews Tickets
461,"How close did I get?
102 Effect of Force Majeure",Everyone's favorite: VEPCO force m.
462,"Mr Garner:  At the request of Kim Ward, I am forwarding to you for review the attached draft of a Master Firm Purchase/Sale Agreement",Master Firm Purchase Sale Agreement
463,"I will serve as a representative to the  Associates PRC meeting that will  take place on December 12
As a PRC rep, I have been assigned the Associates  to represent in the meeting as indicated below",Preparation for Year End Associate PRC Meeting
464,"The mad cow disease must have extended to England's venerable sheep, thus  causing a lack of worsted wool, hence, no new trousers which, I'm sure, is  the only reason we haven't gotten a fashion bulletin from you in quite some  time
The men's fashion news here in the United States says that the current  fashion in ladies pedal pushers (or knee length trousers) has now extended to  the gents and is becoming quite the rage",Are You Alive?!
465,"Just a reminder -  We have added a new pub code to EnPower
The code is for the Dow Jones COB  Sunday Index",New Pub Code
466,"I have 2 storage questions for now
1",Storage Questions
467,"eSource Presents Lexis-Nexis Training  Basic  Lexis-Nexis Basic is geared to the novice or prospective user
You will learn the basics of getting around Nexis",Lexis-Nexis Training: Houston & Worldwide / Dow Jones Training
468,"It appears that the following email may not have been clear
You have to copy all documents yourself",YOU HAVE 48 HOURS - Message from Louise Kitchen
469,"Hi Jeff:  Thought I'd ask again if you'd be willing to talk to me about your decision to step down
There's much interest among our readers in you",houston chronicle interview request
470,"Hi Sue:  A very happy new year to you
Mr Kean has had me underwater since last  Thursday night, but I'll resurface tomorrow, at which time we can catch up on  a number of things, including bills",ICA memo
471,"John, attached below is my first draft
It isn't pretty and i would like you  comments and changes",economist
472,"At the request of Paul Finken, I am attaching our proposed form of  Non-Disclosure Agreement
If the enclosed meets with your approval, please  execute the agreement and return it to me via fax no",NDA - GreenAsh Corporation
473,"Ben,  Good Morning!
I work for Joe Toussaint and I'll be making your travel arrangements and scheduling the meetings for January 3
I wanted to check with you before I scheduled the flights",Meeting Schedule w/Cinergy
474,"When: Monday, November 26, 2001 11:45 AM-1:00 PM (GMT-06:00) Central Time (US & Canada)
Where: 6116  *~*~*~*~*~*~*~*~*~*  Per Laura Luce,  	A meeting has been scheduled to take place today @ 11:45 AM, in ECN 6116",Meeting Today
475,Summary Risk Data as of 10/26/2001		 		 Active Financial Deals	52	 Active Physical Deals	35	 P&L  Daily ($thousands)	780	 VaR ($thousands)	450,Daily Summary of Risk Data
476,"We have received an executed Amendment Agreement dated October 9, 2001 to the ISDA Master Agreement between Enron North America Corp (""ENA"") and Royal Bank of Canada (""RBC"") dated as of February 15, 1995",Amendment Agreement - Royal Bank of Canada
477,"We have received an executed Assignment Agreement dated as of October 9, 2001 among National Westminster Bank plc (""NWB""), The Royal Bank of Scotland plc (""RBS"") and Enron North America Corp (""ENA"")",Assignment Agreement - National Westminster Bank  plc
